A,B
81,129
86,126
82,130
80,126
80,124
85,124
81,121
84,122
88,121
80,125
84,124
80,123
90,120
86,124
82,127
85,125
82,124
84,120
85,122
82,130
84,123
86,125
86,125
90,124
88,127
89,122
84,128
89,125
83,128
90,130
80,127
80,125
88,121
89,120
81,124
86,128
89,126
89,121
86,130
86,121
88,121
84,127
88,122
87,124
90,121
87,122
88,123
89,120
89,123
90,120
83,125
83,127
90,120
90,123
90,122
85,130
89,121
87,123
83,128
82,120
82,128
80,128
89,126
87,127
86,125
83,121
81,130
88,122
82,128
87,125
89,122
82,121
87,128
88,126
89,122
86,126
87,120
83,130
85,123
90,120
85,120
84,121
88,130
88,123
87,122
82,126
90,128
89,123
89,125
82,130
80,120
88,123
86,124
87,123
87,123
85,124
84,126
89,120
84,128
85,129
